,pair,p1,p2,OR,OR_lci,OR_uci,OR_p-value_original,Q-test,Q-test p-value,p_bh_heatmap,p_bh_scatter,within_domain
1226,Asthma Nonrheumatic valve disease,Asthma,Nonrheumatic valve disease,1.28,1.26,1.29,<0.0001,1.63,0.2,<0.0001,<0.0001,0
1227,Primary Malignancy_Other Skin and subcutaneous tissue Tendon disorders,Primary Malignancy_Other Skin and subcutaneous tissue,Tendon disorders,1.28,1.26,1.29,<0.0001,1.17,0.28,<0.0001,<0.0001,0
1228,Peripheral arterial disease Osteoporosis,Peripheral arterial disease,Osteoporosis,1.28,1.25,1.3,<0.0001,118.07,<0.0001,<0.0001,<0.0001,0
1229,All stroke Spondylosis,All stroke,Spondylosis,1.28,1.26,1.29,<0.0001,39.54,<0.0001,<0.0001,<0.0001,0
1230,Hyperthyroidism (without hypo) Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Hyperthyroidism (without hypo),Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.28,1.23,1.33,<0.0001,8.52,<0.0001,<0.0001,<0.0001,0
1231,Tinnitus Retinal detachments and breaks,Tinnitus,Retinal detachments and breaks,1.28,1.24,1.32,<0.0001,1.29,0.26,<0.0001,<0.0001,0
1232,Female genital prolapse Anxiety disorders,Female genital prolapse,Anxiety disorders,1.28,1.26,1.29,<0.0001,57.84,<0.0001,<0.0001,<0.0001,0
1233,Chronic kidney disease Depression,Chronic kidney disease,Depression,1.28,1.27,1.29,<0.0001,110.19,<0.0001,<0.0001,<0.0001,0
1234,Gastro-oesophageal reflux disease Ischaemic stroke and TIA,Gastro-oesophageal reflux disease,Ischaemic stroke and TIA,1.28,1.26,1.3,<0.0001,99.7,<0.0001,<0.0001,<0.0001,0
1235,Psoriasis Diverticular disease of intestine (acute and chronic),Psoriasis,Diverticular disease of intestine (acute and chronic),1.28,1.26,1.3,<0.0001,6.88,0.01,<0.0001,<0.0001,0
1236,Ulcerative colitis Hyperthyroidism (without hypo),Ulcerative colitis,Hyperthyroidism (without hypo),1.28,1.18,1.39,<0.0001,0.37,0.54,<0.0001,<0.0001,0
1237,Vitamin B12 deficiency anaemia Primary Malignancy_Colorectal,Vitamin B12 deficiency anaemia,Primary Malignancy_Colorectal,1.28,1.23,1.32,<0.0001,24.73,<0.0001,<0.0001,<0.0001,0
1238,Urolithiasis Transient ischaemic attack,Urolithiasis,Transient ischaemic attack,1.28,1.24,1.32,<0.0001,3.12,0.08,<0.0001,<0.0001,0
1239,Erectile dysfunction Ischaemic stroke and TIA,Erectile dysfunction,Ischaemic stroke and TIA,1.28,1.26,1.3,<0.0001,0.02,0.9,<0.0001,<0.0001,0
1240,Hypertension Spondylolisthesis,Hypertension,Spondylolisthesis,1.28,1.25,1.31,<0.0001,0.1,0.75,<0.0001,<0.0001,0
1241,Gout Ischaemic stroke and TIA,Gout,Ischaemic stroke and TIA,1.28,1.26,1.3,<0.0001,52.32,<0.0001,<0.0001,<0.0001,0
1242,Gout Cholelithiasis,Gout,Cholelithiasis,1.28,1.26,1.3,<0.0001,19.24,<0.0001,<0.0001,<0.0001,0
1243,Gastro-oesophageal reflux disease Obesity,Gastro-oesophageal reflux disease,Obesity,1.28,1.27,1.29,<0.0001,241.69,<0.0001,<0.0001,<0.0001,0
1244,Psoriasis Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Psoriasis,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.28,1.25,1.31,<0.0001,7.11,0.01,<0.0001,<0.0001,0
1245,Allergic and chronic rhinitis Fibromatoses,Allergic and chronic rhinitis,Fibromatoses,1.28,1.26,1.3,<0.0001,0.01,0.91,<0.0001,<0.0001,0
1246,Enthesopathies of the lower body Nonrheumatic valve disease,Enthesopathies of the lower body,Nonrheumatic valve disease,1.28,1.26,1.3,<0.0001,40.54,<0.0001,<0.0001,<0.0001,0
1247,Atrial fibrillation Osteoarthritis (excl spine),Atrial fibrillation,Osteoarthritis (excl spine),1.28,1.27,1.29,<0.0001,163.34,<0.0001,<0.0001,<0.0001,0
1248,Hyperplasia of prostate Asthma,Hyperplasia of prostate,Asthma,1.28,1.26,1.3,<0.0001,2.21,0.14,<0.0001,<0.0001,0
1249,Atrial fibrillation Urinary Incontinence,Atrial fibrillation,Urinary Incontinence,1.28,1.27,1.3,<0.0001,83.93,<0.0001,<0.0001,<0.0001,0
1250,Hypothyroidism (without hyper) Abdominal aortic aneurysm,Hypothyroidism (without hyper),Abdominal aortic aneurysm,1.28,1.22,1.35,<0.0001,3.46,0.06,<0.0001,<0.0001,0
1251,Hypertension Carpal tunnel syndrome,Hypertension,Carpal tunnel syndrome,1.28,1.27,1.29,<0.0001,0.59,0.44,<0.0001,<0.0001,0
1252,Psoriasis Enthesopathies of the lower body,Psoriasis,Enthesopathies of the lower body,1.28,1.26,1.3,<0.0001,16.24,<0.0001,<0.0001,<0.0001,0
1253,Fibromatoses Essential tremor,Fibromatoses,Essential tremor,1.28,1.21,1.36,<0.0001,1.17,0.28,<0.0001,<0.0001,0
1254,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes) Hypothyroidism (without hyper),Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Hypothyroidism (without hyper),1.28,1.26,1.31,<0.0001,33.4,<0.0001,<0.0001,<0.0001,0
1255,Hearing loss Asthma,Hearing loss,Asthma,1.28,1.27,1.3,<0.0001,30.23,<0.0001,<0.0001,<0.0001,0
1256,Irritable bowel syndrome Primary Malignancy_Prostate,Irritable bowel syndrome,Primary Malignancy_Prostate,1.28,1.24,1.33,<0.0001,11.89,<0.0001,<0.0001,<0.0001,0
1257,Migraine Polymyalgia Rheumatica,Migraine,Polymyalgia Rheumatica,1.28,1.25,1.32,<0.0001,5.7,0.02,<0.0001,<0.0001,0
1258,Insomnia Osteoporosis,Insomnia,Osteoporosis,1.29,1.27,1.3,<0.0001,72.81,<0.0001,<0.0001,<0.0001,0
1259,Fibromyalgia Hypertension,Fibromyalgia,Hypertension,1.29,1.26,1.31,<0.0001,8.78,<0.0001,<0.0001,<0.0001,0
1260,Scoliosis Cataract,Scoliosis,Cataract,1.29,1.26,1.31,<0.0001,7.42,0.01,<0.0001,<0.0001,0
1261,Chronic kidney disease Cataract,Chronic kidney disease,Cataract,1.29,1.28,1.29,<0.0001,304.24,<0.0001,<0.0001,<0.0001,0
1262,Spondylolisthesis Coronary Heart Disease,Spondylolisthesis,Coronary Heart Disease,1.29,1.25,1.33,<0.0001,32.92,<0.0001,<0.0001,<0.0001,0
1263,Tendon disorders Obesity,Tendon disorders,Obesity,1.29,1.28,1.3,<0.0001,122.68,<0.0001,<0.0001,<0.0001,0
1264,Urolithiasis Primary Malignancy_Colorectal,Urolithiasis,Primary Malignancy_Colorectal,1.29,1.24,1.33,<0.0001,0.78,0.38,<0.0001,<0.0001,0
1265,Primary Malignancy_Bladder Cholelithiasis,Primary Malignancy_Bladder,Cholelithiasis,1.29,1.24,1.34,<0.0001,1.46,0.23,<0.0001,<0.0001,0
1266,Thromboembolic Scoliosis,Thromboembolic,Scoliosis,1.29,1.23,1.34,<0.0001,27.98,<0.0001,<0.0001,<0.0001,0
1267,Erectile dysfunction Nonrheumatic valve disease,Erectile dysfunction,Nonrheumatic valve disease,1.29,1.26,1.31,<0.0001,15.31,<0.0001,<0.0001,<0.0001,0
1268,Insomnia Scoliosis,Insomnia,Scoliosis,1.29,1.26,1.31,<0.0001,26.05,<0.0001,<0.0001,<0.0001,0
1269,All stroke Osteoporosis,All stroke,Osteoporosis,1.29,1.27,1.31,<0.0001,45.36,<0.0001,<0.0001,<0.0001,0
1270,Female genital prolapse Raynaud's syndrome,Female genital prolapse,Raynaud's syndrome,1.29,1.25,1.33,<0.0001,1.81,0.18,<0.0001,<0.0001,0
1271,Heart failure Spondylosis,Heart failure,Spondylosis,1.29,1.27,1.31,<0.0001,93.07,<0.0001,<0.0001,<0.0001,0
1272,Intervertebral disc disorders COPD,Intervertebral disc disorders,COPD,1.29,1.27,1.31,<0.0001,55.98,<0.0001,<0.0001,<0.0001,0
1273,Vitamin B12 deficiency anaemia Psoriasis,Vitamin B12 deficiency anaemia,Psoriasis,1.29,1.26,1.32,<0.0001,0.02,0.88,<0.0001,<0.0001,0
1274,Tendon disorders Coronary Heart Disease,Tendon disorders,Coronary Heart Disease,1.29,1.28,1.3,<0.0001,51.67,<0.0001,<0.0001,<0.0001,0
1275,Carpal tunnel syndrome Thromboembolic,Carpal tunnel syndrome,Thromboembolic,1.29,1.26,1.31,<0.0001,26.12,<0.0001,<0.0001,<0.0001,0
1276,Migraine Erectile dysfunction,Migraine,Erectile dysfunction,1.29,1.26,1.31,<0.0001,0.5,0.48,<0.0001,<0.0001,0
1277,Nonrheumatic valve disease Osteoporosis,Nonrheumatic valve disease,Osteoporosis,1.29,1.27,1.31,<0.0001,26.85,<0.0001,<0.0001,<0.0001,0
1278,Insomnia Cholelithiasis,Insomnia,Cholelithiasis,1.29,1.27,1.31,<0.0001,320.52,<0.0001,<0.0001,<0.0001,0
1279,All stroke Insomnia,All stroke,Insomnia,1.29,1.27,1.31,<0.0001,22.69,<0.0001,<0.0001,<0.0001,0
1280,Hyperthyroidism (without hypo) Essential tremor,Hyperthyroidism (without hypo),Essential tremor,1.29,1.2,1.38,<0.0001,8.36,<0.0001,<0.0001,<0.0001,0
1281,Peptic ulcer disease Cataract,Peptic ulcer disease,Cataract,1.29,1.27,1.31,<0.0001,3.12,0.08,<0.0001,<0.0001,0
1282,Enthesopathies of the lower body Primary Malignancy_Other Skin and subcutaneous tissue,Enthesopathies of the lower body,Primary Malignancy_Other Skin and subcutaneous tissue,1.29,1.28,1.31,<0.0001,0.3,0.58,<0.0001,<0.0001,0
1283,Erectile dysfunction Peptic ulcer disease,Erectile dysfunction,Peptic ulcer disease,1.29,1.27,1.32,<0.0001,2.75,0.1,<0.0001,<0.0001,0
1284,Rheumatoid Arthritis Cataract,Rheumatoid Arthritis,Cataract,1.29,1.27,1.32,<0.0001,19.9,<0.0001,<0.0001,<0.0001,0
1285,Migraine Thromboembolic,Migraine,Thromboembolic,1.29,1.27,1.32,<0.0001,9.18,<0.0001,<0.0001,<0.0001,0
1286,Alcohol Problems Erectile dysfunction,Alcohol Problems,Erectile dysfunction,1.29,1.27,1.31,<0.0001,0.32,0.57,<0.0001,<0.0001,0
1287,Erectile dysfunction Primary Malignancy_Bladder,Erectile dysfunction,Primary Malignancy_Bladder,1.29,1.25,1.34,<0.0001,13.96,<0.0001,<0.0001,<0.0001,0
1288,Heart failure Carpal tunnel syndrome,Heart failure,Carpal tunnel syndrome,1.29,1.27,1.32,<0.0001,36.69,<0.0001,<0.0001,<0.0001,0
1289,Iron deficiency anaemia Anxiety disorders,Iron deficiency anaemia,Anxiety disorders,1.29,1.28,1.31,<0.0001,45.41,<0.0001,<0.0001,<0.0001,0
1290,Cholelithiasis Rheumatoid Arthritis,Cholelithiasis,Rheumatoid Arthritis,1.29,1.26,1.33,<0.0001,8.64,<0.0001,<0.0001,<0.0001,0
1291,Diabetes type 2 Depression,Diabetes type 2,Depression,1.29,1.29,1.3,<0.0001,161.13,<0.0001,<0.0001,<0.0001,0
1292,Iron deficiency anaemia Migraine,Iron deficiency anaemia,Migraine,1.29,1.27,1.32,<0.0001,28.31,<0.0001,<0.0001,<0.0001,0
1293,Allergic and chronic rhinitis Cataract,Allergic and chronic rhinitis,Cataract,1.29,1.28,1.31,<0.0001,2.92,0.09,<0.0001,<0.0001,0
1294,Asthma Cataract,Asthma,Cataract,1.3,1.28,1.31,<0.0001,39.82,<0.0001,<0.0001,<0.0001,0
1295,Thromboembolic Gastro-oesophageal reflux disease,Thromboembolic,Gastro-oesophageal reflux disease,1.3,1.28,1.31,<0.0001,32.36,<0.0001,<0.0001,<0.0001,0
1296,Cataract Tinnitus,Cataract,Tinnitus,1.3,1.28,1.31,<0.0001,142.27,<0.0001,<0.0001,<0.0001,0
1297,Anxiety disorders All stroke,Anxiety disorders,All stroke,1.3,1.28,1.31,<0.0001,16.69,<0.0001,<0.0001,<0.0001,0
1298,Anxiety disorders Urolithiasis,Anxiety disorders,Urolithiasis,1.3,1.28,1.31,<0.0001,8.96,<0.0001,<0.0001,<0.0001,0
1299,Ulcerative colitis Spondylolisthesis,Ulcerative colitis,Spondylolisthesis,1.3,1.16,1.45,<0.0001,7.1,0.01,<0.0001,<0.0001,0
1300,Hyperthyroidism (without hypo) Gastritis and duodeniti,Hyperthyroidism (without hypo),Gastritis and duodeniti,1.3,1.26,1.33,<0.0001,15.39,<0.0001,<0.0001,<0.0001,0
1301,Diverticular disease of intestine (acute and chronic) Hypertension,Diverticular disease of intestine (acute and chronic),Hypertension,1.3,1.29,1.31,<0.0001,2.4,0.12,<0.0001,<0.0001,0
1302,Urolithiasis Osteoporosis,Urolithiasis,Osteoporosis,1.3,1.27,1.32,<0.0001,1.5,0.22,<0.0001,<0.0001,0
1303,Iron deficiency anaemia Enthesopathies of the upper body,Iron deficiency anaemia,Enthesopathies of the upper body,1.3,1.29,1.31,<0.0001,135.9,<0.0001,<0.0001,<0.0001,0
1304,Cataract Tendon disorders,Cataract,Tendon disorders,1.3,1.29,1.31,<0.0001,38.94,<0.0001,<0.0001,<0.0001,0
1305,Enthesopathies of the lower body Urolithiasis,Enthesopathies of the lower body,Urolithiasis,1.3,1.28,1.32,<0.0001,1.73,0.19,<0.0001,<0.0001,0
1306,Erectile dysfunction Transient ischaemic attack,Erectile dysfunction,Transient ischaemic attack,1.3,1.27,1.32,<0.0001,1.42,0.23,<0.0001,<0.0001,0
1307,Fibromatoses Insomnia,Fibromatoses,Insomnia,1.3,1.27,1.33,<0.0001,29.39,<0.0001,<0.0001,<0.0001,0
1308,Psoriasis Osteoarthritis (excl spine),Psoriasis,Osteoarthritis (excl spine),1.3,1.29,1.31,<0.0001,17.13,<0.0001,<0.0001,<0.0001,0
1309,Essential tremor Ischaemic stroke and TIA,Essential tremor,Ischaemic stroke and TIA,1.3,1.25,1.35,<0.0001,0.95,0.33,<0.0001,<0.0001,0
1310,Insomnia Female genital prolapse,Insomnia,Female genital prolapse,1.3,1.28,1.32,<0.0001,80.22,<0.0001,<0.0001,<0.0001,0
1311,Urolithiasis Osteoarthritis (excl spine),Urolithiasis,Osteoarthritis (excl spine),1.3,1.28,1.32,<0.0001,1.28,0.26,<0.0001,<0.0001,0
1312,Gout Transient ischaemic attack,Gout,Transient ischaemic attack,1.3,1.28,1.32,<0.0001,13.38,<0.0001,<0.0001,<0.0001,0
1313,Peptic ulcer disease Chronic kidney disease,Peptic ulcer disease,Chronic kidney disease,1.3,1.28,1.32,<0.0001,168.37,<0.0001,<0.0001,<0.0001,0
1314,Iron deficiency anaemia Enthesopathies of the shoulder,Iron deficiency anaemia,Enthesopathies of the shoulder,1.3,1.29,1.32,<0.0001,125.19,<0.0001,<0.0001,<0.0001,0
1315,Enthesopathies of the upper body Obesity,Enthesopathies of the upper body,Obesity,1.3,1.29,1.31,<0.0001,51.73,<0.0001,<0.0001,<0.0001,0
1316,Gastro-oesophageal reflux disease Polymyalgia Rheumatica,Gastro-oesophageal reflux disease,Polymyalgia Rheumatica,1.3,1.28,1.32,<0.0001,0.14,0.71,<0.0001,<0.0001,0
1317,Hyperthyroidism (without hypo) Osteoporosis,Hyperthyroidism (without hypo),Osteoporosis,1.3,1.27,1.33,<0.0001,15.87,<0.0001,<0.0001,<0.0001,0
1318,Obesity Diverticular disease of intestine (acute and chronic),Obesity,Diverticular disease of intestine (acute and chronic),1.3,1.29,1.31,<0.0001,402.84,<0.0001,<0.0001,<0.0001,0
1319,Urolithiasis Carpal tunnel syndrome,Urolithiasis,Carpal tunnel syndrome,1.3,1.28,1.33,<0.0001,0.13,0.71,<0.0001,<0.0001,0
1320,Chronic kidney disease Diverticular disease of intestine (acute and chronic),Chronic kidney disease,Diverticular disease of intestine (acute and chronic),1.3,1.29,1.31,<0.0001,127.95,<0.0001,<0.0001,<0.0001,0
1321,Intervertebral disc disorders Cataract,Intervertebral disc disorders,Cataract,1.3,1.29,1.32,<0.0001,0.22,0.64,<0.0001,<0.0001,0
1322,Hyperthyroidism (without hypo) Peptic ulcer disease,Hyperthyroidism (without hypo),Peptic ulcer disease,1.3,1.25,1.36,<0.0001,6.54,0.01,<0.0001,<0.0001,0
1323,Female genital prolapse Carpal tunnel syndrome,Female genital prolapse,Carpal tunnel syndrome,1.3,1.28,1.32,<0.0001,0.65,0.42,<0.0001,<0.0001,0
1324,Anxiety disorders Carpal tunnel syndrome,Anxiety disorders,Carpal tunnel syndrome,1.3,1.29,1.32,<0.0001,9.87,<0.0001,<0.0001,<0.0001,0
1325,Hyperthyroidism (without hypo) Chronic kidney disease,Hyperthyroidism (without hypo),Chronic kidney disease,1.3,1.28,1.33,<0.0001,43.06,<0.0001,<0.0001,<0.0001,0
1326,Essential tremor Cholelithiasis,Essential tremor,Cholelithiasis,1.3,1.26,1.35,<0.0001,24.8,<0.0001,<0.0001,<0.0001,0
1327,Obesity Alcohol Problems,Obesity,Alcohol Problems,1.3,1.29,1.32,<0.0001,0.05,0.83,<0.0001,<0.0001,0
1328,Allergic and chronic rhinitis Female genital prolapse,Allergic and chronic rhinitis,Female genital prolapse,1.3,1.29,1.32,<0.0001,13.59,<0.0001,<0.0001,<0.0001,0
1329,Asthma Polymyalgia Rheumatica,Asthma,Polymyalgia Rheumatica,1.3,1.28,1.33,<0.0001,0.25,0.62,<0.0001,<0.0001,0
1330,Fibromatoses Irritable bowel syndrome,Fibromatoses,Irritable bowel syndrome,1.3,1.27,1.34,<0.0001,0,1,<0.0001,<0.0001,0
1331,Hypothyroidism (without hyper) Gout,Hypothyroidism (without hyper),Gout,1.3,1.28,1.33,<0.0001,19.53,<0.0001,<0.0001,<0.0001,0
1332,Depression Urolithiasis,Depression,Urolithiasis,1.3,1.29,1.32,<0.0001,76.07,<0.0001,<0.0001,<0.0001,0
1333,Hyperplasia of prostate Cholelithiasis,Hyperplasia of prostate,Cholelithiasis,1.3,1.28,1.33,<0.0001,38.71,<0.0001,<0.0001,<0.0001,0
1334,COPD Chronic kidney disease,COPD,Chronic kidney disease,1.31,1.29,1.32,<0.0001,16.47,<0.0001,<0.0001,<0.0001,0
1335,Chronic sinusitis Ulcerative colitis,Chronic sinusitis,Ulcerative colitis,1.31,1.25,1.36,<0.0001,0.03,0.86,<0.0001,<0.0001,0
1336,Essential tremor Polymyalgia Rheumatica,Essential tremor,Polymyalgia Rheumatica,1.31,1.24,1.38,<0.0001,3.21,0.07,<0.0001,<0.0001,0
1337,Psoriasis Alcohol Problems,Psoriasis,Alcohol Problems,1.31,1.28,1.33,<0.0001,1.36,0.24,<0.0001,<0.0001,0
1338,Raynaud's syndrome Hypothyroidism (without hyper),Raynaud's syndrome,Hypothyroidism (without hyper),1.31,1.27,1.35,<0.0001,0.08,0.78,<0.0001,<0.0001,0
1339,Psoriasis Obesity,Psoriasis,Obesity,1.31,1.29,1.32,<0.0001,0,0.96,<0.0001,<0.0001,0
1340,Hyperthyroidism (without hypo) Sleep apnoea,Hyperthyroidism (without hypo),Sleep apnoea,1.31,1.24,1.38,<0.0001,15.02,<0.0001,<0.0001,<0.0001,0
1341,Rheumatoid Arthritis Sleep apnoea,Rheumatoid Arthritis,Sleep apnoea,1.31,1.24,1.38,<0.0001,27.53,<0.0001,<0.0001,<0.0001,0
1342,Vitamin B12 deficiency anaemia Gout,Vitamin B12 deficiency anaemia,Gout,1.31,1.29,1.33,<0.0001,47.29,<0.0001,<0.0001,<0.0001,0
1343,"Hypothyroidism (without hyper) Schizophrenia, schizotypal and delusional disorders",Hypothyroidism (without hyper),"Schizophrenia, schizotypal and delusional disorders",1.31,1.26,1.36,<0.0001,6.61,0.01,<0.0001,<0.0001,0
1344,Scoliosis Depression,Scoliosis,Depression,1.31,1.29,1.34,<0.0001,38.32,<0.0001,<0.0001,<0.0001,0
1345,Osteoarthritis (excl spine) Coronary Heart Disease,Osteoarthritis (excl spine),Coronary Heart Disease,1.31,1.3,1.32,<0.0001,608.76,<0.0001,<0.0001,<0.0001,0
1346,Cholelithiasis Hypertension,Cholelithiasis,Hypertension,1.31,1.3,1.32,<0.0001,15.42,<0.0001,<0.0001,<0.0001,0
1347,Irritable bowel syndrome Transient ischaemic attack,Irritable bowel syndrome,Transient ischaemic attack,1.31,1.28,1.34,<0.0001,2.99,0.08,<0.0001,<0.0001,0
1348,Essential tremor Osteoporosis,Essential tremor,Osteoporosis,1.31,1.27,1.35,<0.0001,8.3,<0.0001,<0.0001,<0.0001,0
1349,Peptic ulcer disease Nonrheumatic valve disease,Peptic ulcer disease,Nonrheumatic valve disease,1.31,1.28,1.34,<0.0001,64.55,<0.0001,<0.0001,<0.0001,0
1350,Essential tremor Obesity,Essential tremor,Obesity,1.31,1.28,1.34,<0.0001,25.42,<0.0001,<0.0001,<0.0001,0
1351,Obesity Nonrheumatic valve disease,Obesity,Nonrheumatic valve disease,1.31,1.3,1.33,<0.0001,277.55,<0.0001,<0.0001,<0.0001,0
1352,Cholelithiasis Carpal tunnel syndrome,Cholelithiasis,Carpal tunnel syndrome,1.31,1.29,1.33,<0.0001,17.76,<0.0001,<0.0001,<0.0001,0
1353,Asthma Osteoporosis,Asthma,Osteoporosis,1.31,1.3,1.33,<0.0001,8.33,<0.0001,<0.0001,<0.0001,0
1354,Primary Malignancy_Bladder Coronary Heart Disease,Primary Malignancy_Bladder,Coronary Heart Disease,1.31,1.28,1.35,<0.0001,2.27,0.13,<0.0001,<0.0001,0
1355,Transient ischaemic attack Hearing loss,Transient ischaemic attack,Hearing loss,1.31,1.3,1.33,<0.0001,26.66,<0.0001,<0.0001,<0.0001,0
1356,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes) Female genital prolapse,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Female genital prolapse,1.31,1.28,1.34,<0.0001,1.6,0.21,<0.0001,<0.0001,0
1357,Polymyalgia Rheumatica Hyperplasia of prostate,Polymyalgia Rheumatica,Hyperplasia of prostate,1.31,1.28,1.35,<0.0001,3.77,0.05,<0.0001,<0.0001,0
1358,Essential tremor Transient ischaemic attack,Essential tremor,Transient ischaemic attack,1.31,1.25,1.38,<0.0001,0.15,0.7,<0.0001,<0.0001,0
1359,Fibromatoses Chronic sinusitis,Fibromatoses,Chronic sinusitis,1.31,1.28,1.34,<0.0001,0.53,0.47,<0.0001,<0.0001,0
1360,Gastro-oesophageal reflux disease Osteoporosis,Gastro-oesophageal reflux disease,Osteoporosis,1.31,1.3,1.33,<0.0001,4.85,0.03,<0.0001,<0.0001,0
1361,Osteoporosis Depression,Osteoporosis,Depression,1.31,1.3,1.32,<0.0001,11.79,<0.0001,<0.0001,<0.0001,0
1362,Heart failure Insomnia,Heart failure,Insomnia,1.32,1.3,1.33,<0.0001,127.2,<0.0001,<0.0001,<0.0001,0
1363,Essential tremor Peptic ulcer disease,Essential tremor,Peptic ulcer disease,1.32,1.26,1.38,<0.0001,7.03,0.01,<0.0001,<0.0001,0
1364,Anxiety disorders Spondylolisthesis,Anxiety disorders,Spondylolisthesis,1.32,1.28,1.35,<0.0001,0.05,0.82,<0.0001,<0.0001,0
1365,Enthesopathies of the shoulder Urolithiasis,Enthesopathies of the shoulder,Urolithiasis,1.32,1.3,1.34,<0.0001,1.23,0.27,<0.0001,<0.0001,0
1366,Hearing loss Female genital prolapse,Hearing loss,Female genital prolapse,1.32,1.3,1.33,<0.0001,12.96,<0.0001,<0.0001,<0.0001,0
1367,Cataract Carpal tunnel syndrome,Cataract,Carpal tunnel syndrome,1.32,1.3,1.33,<0.0001,63.35,<0.0001,<0.0001,<0.0001,0
1368,Thromboembolic Spondylosis,Thromboembolic,Spondylosis,1.32,1.3,1.34,<0.0001,48.45,<0.0001,<0.0001,<0.0001,0
1369,Atrial fibrillation Diverticular disease of intestine (acute and chronic),Atrial fibrillation,Diverticular disease of intestine (acute and chronic),1.32,1.31,1.33,<0.0001,140.77,<0.0001,<0.0001,<0.0001,0
1370,Spondylolisthesis Hearing loss,Spondylolisthesis,Hearing loss,1.32,1.29,1.35,<0.0001,0.82,0.37,<0.0001,<0.0001,0
1371,Cholelithiasis Spondylolisthesis,Cholelithiasis,Spondylolisthesis,1.32,1.27,1.37,<0.0001,6.8,0.01,<0.0001,<0.0001,0
1372,Osteoporosis Diverticular disease of intestine (acute and chronic),Osteoporosis,Diverticular disease of intestine (acute and chronic),1.32,1.31,1.33,<0.0001,0.93,0.34,<0.0001,<0.0001,0
1373,Coronary Heart Disease Enthesopathies of the upper body,Coronary Heart Disease,Enthesopathies of the upper body,1.32,1.31,1.33,<0.0001,196.86,<0.0001,<0.0001,<0.0001,0
1374,Asthma Cholelithiasis,Asthma,Cholelithiasis,1.32,1.3,1.34,<0.0001,57.78,<0.0001,<0.0001,<0.0001,0
1375,Polymyalgia Rheumatica Chronic kidney disease,Polymyalgia Rheumatica,Chronic kidney disease,1.32,1.3,1.34,<0.0001,0.74,0.39,<0.0001,<0.0001,0
1376,Enthesopathies of the lower body Depression,Enthesopathies of the lower body,Depression,1.32,1.31,1.33,<0.0001,150.26,<0.0001,<0.0001,<0.0001,0
1377,Anxiety disorders Coronary Heart Disease,Anxiety disorders,Coronary Heart Disease,1.32,1.31,1.33,<0.0001,132.96,<0.0001,<0.0001,<0.0001,0
1378,Spondylosis Abdominal aortic aneurysm,Spondylosis,Abdominal aortic aneurysm,1.32,1.28,1.37,<0.0001,15.61,<0.0001,<0.0001,<0.0001,0
1379,Essential tremor Urolithiasis,Essential tremor,Urolithiasis,1.32,1.26,1.39,<0.0001,4.95,0.03,<0.0001,<0.0001,0
1380,Ischaemic stroke and TIA Intervertebral disc disorders,Ischaemic stroke and TIA,Intervertebral disc disorders,1.32,1.3,1.35,<0.0001,0.35,0.55,<0.0001,<0.0001,0
1381,Peripheral arterial disease Cholelithiasis,Peripheral arterial disease,Cholelithiasis,1.32,1.29,1.35,<0.0001,11.8,<0.0001,<0.0001,<0.0001,0
1382,Diverticular disease of intestine (acute and chronic) Primary Malignancy_Bladder,Diverticular disease of intestine (acute and chronic),Primary Malignancy_Bladder,1.32,1.29,1.36,<0.0001,1.65,0.2,<0.0001,<0.0001,0
1383,Urolithiasis Coronary Heart Disease,Urolithiasis,Coronary Heart Disease,1.32,1.3,1.35,<0.0001,176.31,<0.0001,<0.0001,<0.0001,0
1384,Urolithiasis Spondylolisthesis,Urolithiasis,Spondylolisthesis,1.33,1.26,1.39,<0.0001,0.65,0.42,<0.0001,<0.0001,0
1385,Cholelithiasis Enthesopathies of the shoulder,Cholelithiasis,Enthesopathies of the shoulder,1.33,1.31,1.34,<0.0001,144.13,<0.0001,<0.0001,<0.0001,0
1386,Osteoporosis Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),Osteoporosis,Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes),1.33,1.3,1.35,<0.0001,0.78,0.38,<0.0001,<0.0001,0
1387,Vitamin B12 deficiency anaemia Enthesopathies of the shoulder,Vitamin B12 deficiency anaemia,Enthesopathies of the shoulder,1.33,1.31,1.35,<0.0001,78.59,<0.0001,<0.0001,<0.0001,0
1388,Cataract Hypertension,Cataract,Hypertension,1.33,1.32,1.33,<0.0001,588.35,<0.0001,<0.0001,<0.0001,0
1389,Coronary Heart Disease Asthma,Coronary Heart Disease,Asthma,1.33,1.31,1.34,<0.0001,88.83,<0.0001,<0.0001,<0.0001,0
1390,Vitamin B12 deficiency anaemia Abdominal aortic aneurysm,Vitamin B12 deficiency anaemia,Abdominal aortic aneurysm,1.33,1.25,1.4,<0.0001,8.12,<0.0001,<0.0001,<0.0001,0
