"","p1","p2","rg","rg_lci","rg_uci","rg_se","rg_p","rg_p_fdr_heatmap","p_fdr_scatter","p1_icd_chapter_name","p2_icd_chapter_name","p1_data_sources","p2_data_sources","within_domain"
"1167","Chronic sinusitis","Raynaud's syndrome",0.18,-0.05,0.41,0.12,"0.12","0.16","0.16","Diseases of the respiratory system","Diseases of the circulatory system","1","1",0
"1168","Anxiety disorders","Hearing loss",0.18,0.12,0.24,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the ear and mastoid process","1, 2","3",0
"1169","Hearing loss","Female genital prolapse",0.1,0.04,0.16,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the ear and mastoid process","Diseases of the genitourinary system","3","1, 2",0
"1170","Psoriasis","Gout",0.18,0.12,0.24,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"1171","Hearing loss","Enthesopathies of the shoulder",0.09,0.03,0.15,0.03,"<0.0001","0.01","0.01","Diseases of the ear and mastoid process","Diseases of the musculoskeletal system and connective tissue","3","1, 2",0
"1172","Hearing loss","Carpal tunnel syndrome",0.06,0.01,0.12,0.03,"0.02","0.03","0.03","Diseases of the ear and mastoid process","Diseases of the nervous system","3","1, 2",0
"1173","Tendon disorders","Hypothyroidism (without hyper)",0.18,0.1,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"1174","Obesity","Cataract",0.18,0.13,0.22,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the eye and adnexa","1, 2","1, 2",0
"1175","Heart failure","Vitamin B12 deficiency anaemia",0.28,0.14,0.41,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","2, 3","1",0
"1176","Anxiety disorders","Hyperplasia of prostate",0.18,0.12,0.24,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the genitourinary system","1, 2","1, 2",0
"1177","Heart failure","Bursitis",0.27,0.14,0.4,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"1178","Heart failure","Insomnia",0.21,0.07,0.34,0.07,"<0.0001","0.01","0.01","Diseases of the circulatory system","Diseases of the nervous system","2, 3","1",0
"1179","Gout","Nonrheumatic valve disease",0.18,0.11,0.25,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1, 2, 3","1, 2",0
"1180","Cataract","Hypertension",0.18,0.14,0.22,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the circulatory system","1, 2","1, 2",0
"1181","Heart failure","Irritable bowel syndrome",0.19,0.06,0.33,0.07,"0.01","0.01","0.01","Diseases of the circulatory system","Diseases of the digestive system","2, 3","2, 3",0
"1182","Tendon disorders","Cholelithiasis",0.18,0.11,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the digestive system","1, 2","1, 2",0
"1183","Heart failure","Spondylolisthesis",0.17,0.05,0.29,0.06,"<0.0001","0.01","0.01","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"1184","Heart failure","Enthesopathies of the upper body",0.16,0.08,0.24,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"1185","Thromboembolic","Enthesopathies of the upper body",0.18,0.09,0.26,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1186","Heart failure","Hyperthyroidism (without hypo)",0.16,0.06,0.25,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",0
"1187","Atrial fibrillation","Osteoarthritis (excl spine)",0.18,0.13,0.22,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","2, 3",0
"1188","Nonrheumatic valve disease","Osteoporosis",0.18,0.1,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1189","Essential tremor","Tinnitus",0.18,-0.01,0.37,0.1,"0.07","0.1","0.1","Diseases of the nervous system","Diseases of the ear and mastoid process","1","1, 2",0
"1190","Heart failure","Tendon disorders",0.18,0.09,0.26,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1, 2",0
"1191","Heart failure","Urolithiasis",0.14,0.07,0.2,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the genitourinary system","2, 3","1, 2",0
"1192","Heart failure","Osteoporosis",0.11,0.03,0.19,0.04,"0.01","0.02","0.02","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"1193","Hyperplasia of prostate","Tinnitus",0.22,0.11,0.34,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the ear and mastoid process","1, 2","1, 2",0
"1194","Hyperplasia of prostate","Chronic sinusitis",0.21,0.09,0.33,0.06,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the respiratory system","1, 2","1",0
"1195","Hyperplasia of prostate","Fibromyalgia",0.14,0.01,0.26,0.06,"0.03","0.05","0.05","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1196","Migraine","Coronary Heart Disease",0.17,0.12,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the circulatory system","1, 2, 3","2, 3",0
"1197","Hyperplasia of prostate","Asthma",0.12,0.06,0.18,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the respiratory system","1, 2","2, 3",0
"1198","Nonrheumatic valve disease","Hypothyroidism (without hyper)",0.17,0.09,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"1199","Carpal tunnel syndrome","Migraine",0.17,0.12,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the nervous system","1, 2","1, 2, 3",1
"1200","Psoriasis","Depression",0.17,0.12,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Mental and behavioural disorders","1, 2","3",0
"1201","Hyperplasia of prostate","Thromboembolic",0.12,0.04,0.19,0.04,"<0.0001","0.01","0.01","Diseases of the genitourinary system","Diseases of the circulatory system","1, 2","1, 2",0
"1202","Hyperplasia of prostate","Hearing loss",0.11,0.05,0.18,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the ear and mastoid process","1, 2","3",0
"1203","Primary Malignancy_Bladder","Enthesopathies of the upper body",0.17,0,0.35,0.09,"0.06","0.08","0.08","Neoplasms","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1204","Raynaud's syndrome","Spondylolisthesis",0.17,-0.06,0.41,0.12,"0.15","0.2","0.2","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1205","Allergic and chronic rhinitis","Migraine",0.17,0.1,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the nervous system","1, 2","1, 2, 3",0
"1206","Hypothyroidism (without hyper)","Sleep apnoea",0.17,0.11,0.24,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1, 2",0
"1207","Hyperplasia of prostate","Enthesopathies of the shoulder",0.11,0.03,0.18,0.04,"0.01","0.01","0.01","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"1208","Rheumatoid Arthritis","Osteoporosis",0.17,0.08,0.26,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","3","1",1
"1209","Gastro-oesophageal reflux disease","Hyperplasia of prostate",0.17,0.11,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the genitourinary system","2, 3","1, 2",0
"1210","Psoriasis","Anxiety disorders",0.17,0.1,0.24,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Mental and behavioural disorders","1, 2","1, 2",0
"1211","Hyperplasia of prostate","Ulcerative colitis",0.1,0.04,0.16,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the digestive system","1, 2","1, 2, 3",0
"1212","Hyperplasia of prostate","Enthesopathies of the upper body",0.1,0.02,0.18,0.04,"0.02","0.03","0.03","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1213","Hyperplasia of prostate","Female genital prolapse",0.17,0.1,0.24,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the genitourinary system","1, 2","1, 2",1
"1214","Hypertension","Irritable bowel syndrome",0.21,0.11,0.32,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","1, 2","2, 3",0
"1215","Asthma","Cholelithiasis",0.17,0.11,0.24,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the digestive system","2, 3","1, 2",0
"1216","Hypertension","Polymyalgia Rheumatica",0.16,0.07,0.25,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1217","Hypertension","Spondylolisthesis",0.15,0.05,0.24,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1218","Hyperthyroidism (without hypo)","Atrial fibrillation",0.17,0.1,0.25,0.04,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","2, 3",0
"1219","Hypertension","Hyperplasia of prostate",0.09,0.03,0.15,0.03,"0.01","0.01","0.01","Diseases of the circulatory system","Diseases of the genitourinary system","1, 2","1, 2",0
"1220","Hyperplasia of prostate","Sleep apnoea",0.17,0.09,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the nervous system","1, 2","1, 2",0
"1221","Intervertebral disc disorders","Hypothyroidism (without hyper)",0.17,0.11,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"1222","Hyperthyroidism (without hypo)","Vitamin B12 deficiency anaemia",0.25,0.1,0.41,0.08,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism","1, 2","1",0
"1223","Anxiety disorders","Nonrheumatic valve disease",0.17,0.09,0.25,0.04,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the circulatory system","1, 2","1, 2",0
"1224","Hyperthyroidism (without hypo)","Polymyalgia Rheumatica",0.25,0.08,0.41,0.08,"<0.0001","0.01","0.01","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1225","Female genital prolapse","Enthesopathies of the upper body",0.17,0.1,0.24,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1226","Ulcerative colitis","Rheumatoid Arthritis",0.17,0.09,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the musculoskeletal system and connective tissue","1, 2, 3","3",0
"1227","Alcohol Problems","Osteoarthritis (excl spine)",0.17,0.1,0.24,0.04,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the musculoskeletal system and connective tissue","1","2, 3",0
"1228","Psoriasis","Cholelithiasis",0.17,0.11,0.24,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Diseases of the digestive system","1, 2","1, 2",0
"1229","Obesity","Urolithiasis",0.17,0.11,0.23,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the genitourinary system","1, 2","1, 2",0
"1230","Hyperthyroidism (without hypo)","Ischaemic stroke and TIA",0.24,0.1,0.38,0.07,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1",0
"1231","Psoriasis","Carpal tunnel syndrome",0.17,0.11,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the skin and subcutaneous tissue","Diseases of the nervous system","1, 2","1, 2",0
"1232","COPD","Nonrheumatic valve disease",0.17,0.09,0.25,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the circulatory system","1, 2","1, 2",0
"1233","Coronary Heart Disease","Asthma",0.17,0.13,0.21,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the respiratory system","2, 3","2, 3",0
"1234","Hyperthyroidism (without hypo)","Nonrheumatic valve disease",0.22,0.11,0.33,0.06,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1, 2",0
"1235","Asthma","Cataract",0.17,0.12,0.22,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the eye and adnexa","2, 3","1, 2",0
"1236","Hypertension","Depression",0.17,0.13,0.21,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","3",0
"1237","Cholelithiasis","Hypothyroidism (without hyper)",0.17,0.11,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Endocrine, nutritional and metabolic diseases","1, 2","1, 2",0
"1238","Hyperthyroidism (without hypo)","Gastritis and duodeniti",0.17,0.06,0.28,0.06,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","1, 2","1",0
"1239","Hyperthyroidism (without hypo)","Transient ischaemic attack",0.17,0.03,0.3,0.07,"0.02","0.03","0.03","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1, 2",0
"1240","Hyperthyroidism (without hypo)","COPD",0.16,0.07,0.25,0.05,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the respiratory system","1, 2","1, 2",0
"1241","Hearing loss","Asthma",0.17,0.12,0.22,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the ear and mastoid process","Diseases of the respiratory system","3","2, 3",0
"1242","COPD","Chronic kidney disease",0.17,0.1,0.24,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the genitourinary system","1, 2","1, 3",0
"1243","Chronic sinusitis","Abdominal aortic aneurysm",0.17,0,0.34,0.09,"0.05","0.08","0.08","Diseases of the respiratory system","Diseases of the circulatory system","1","1, 2",0
"1244","Coronary Heart Disease","Cataract",0.17,0.12,0.21,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the eye and adnexa","2, 3","1, 2",0
"1245","Sleep apnoea","Cataract",0.17,0.11,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the eye and adnexa","1, 2","1, 2",0
"1246","Allergic and chronic rhinitis","Carpal tunnel syndrome",0.17,0.1,0.24,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the nervous system","1, 2","1, 2",0
"1247","Female genital prolapse","Anxiety disorders",0.17,0.1,0.23,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Mental and behavioural disorders","1, 2","1, 2",0
"1248","Diabetes type 2","Diverticular disease of intestine (acute and chronic)",0.17,0.13,0.2,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","2, 3","1, 2",0
"1249","Hyperthyroidism (without hypo)","Sleep apnoea",0.14,0.06,0.22,0.04,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1, 2",0
"1250","Depression","Hyperplasia of prostate",0.17,0.11,0.22,0.03,"<0.0001","<0.0001","<0.0001","Mental and behavioural disorders","Diseases of the genitourinary system","3","1, 2",0
"1251","Hyperthyroidism (without hypo)","Tendon disorders",0.14,0.03,0.24,0.05,"0.01","0.02","0.02","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"1252","Psoriasis","Bursitis",0.17,0.01,0.32,0.08,"0.04","0.06","0.06","Diseases of the skin and subcutaneous tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1253","Hyperthyroidism (without hypo)","Osteoporosis",0.14,0.03,0.24,0.05,"0.01","0.02","0.02","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1254","Hyperthyroidism (without hypo)","Spondylosis",0.13,0.02,0.24,0.06,"0.02","0.04","0.04","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1255","Cataract","Anxiety disorders",0.16,0.11,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Mental and behavioural disorders","1, 2","1, 2",0
"1256","Coronary Heart Disease","Thromboembolic",0.16,0.11,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the circulatory system","2, 3","1, 2",1
"1257","Hyperthyroidism (without hypo)","Enthesopathies of the shoulder",0.13,0.04,0.22,0.04,"<0.0001","0.01","0.01","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"1258","Hyperthyroidism (without hypo)","Osteoarthritis (excl spine)",0.12,0.05,0.19,0.04,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","2, 3",0
"1259","Hyperthyroidism (without hypo)","Chronic kidney disease",0.12,0.02,0.21,0.05,"0.02","0.03","0.03","Endocrine, nutritional and metabolic diseases","Diseases of the genitourinary system","1, 2","1, 3",0
"1260","Osteoporosis","Polymyalgia Rheumatica",0.16,0.03,0.3,0.07,"0.02","0.03","0.03","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1",1
"1261","Cholelithiasis","Carpal tunnel syndrome",0.16,0.11,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the digestive system","Diseases of the nervous system","1, 2","1, 2",0
"1262","Atrial fibrillation","Diabetes type 2",0.16,0.12,0.21,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Endocrine, nutritional and metabolic diseases","2, 3","2, 3",0
"1263","Hyperthyroidism (without hypo)","Migraine",0.11,0.03,0.2,0.04,"0.01","0.02","0.02","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1, 2, 3",0
"1264","Hyperthyroidism (without hypo)","Anxiety disorders",0.11,0.03,0.19,0.04,"0.01","0.02","0.02","Endocrine, nutritional and metabolic diseases","Mental and behavioural disorders","1, 2","1, 2",0
"1265","Peptic ulcer disease","Raynaud's syndrome",0.16,-0.01,0.34,0.09,"0.06","0.09","0.09","Diseases of the digestive system","Diseases of the circulatory system","1, 2","1",0
"1266","COPD","Osteoporosis",0.16,0.09,0.23,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1267","Urolithiasis","Intervertebral disc disorders",0.16,0.09,0.23,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2",0
"1268","Rheumatoid Arthritis","Gout",0.16,0.1,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","3","1, 2, 3",1
"1269","Osteoporosis","Female genital prolapse",0.16,0.09,0.24,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the genitourinary system","1","1, 2",0
"1270","Hyperplasia of prostate","Diverticular disease of intestine (acute and chronic)",0.16,0.1,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the digestive system","1, 2","1, 2",0
"1271","Hyperthyroidism (without hypo)","Cholelithiasis",0.1,0.01,0.19,0.04,"0.03","0.04","0.04","Endocrine, nutritional and metabolic diseases","Diseases of the digestive system","1, 2","1, 2",0
"1272","Hyperthyroidism (without hypo)","Carpal tunnel syndrome",0.09,0.01,0.17,0.04,"0.02","0.04","0.04","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1, 2",0
"1273","Hypothyroidism (without hyper)","Peripheral arterial disease",0.16,0.01,0.31,0.08,"0.03","0.05","0.05","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1",0
"1274","Spondylolisthesis","Ischaemic stroke and TIA",0.16,-0.08,0.4,0.12,"0.19","0.25","0.25","Diseases of the musculoskeletal system and connective tissue","Diseases of the circulatory system","1","1",0
"1275","Hyperthyroidism (without hypo)","Female genital prolapse",0.09,0.01,0.16,0.04,"0.03","0.05","0.05","Endocrine, nutritional and metabolic diseases","Diseases of the genitourinary system","1, 2","1, 2",0
"1276","Coronary Heart Disease","Diverticular disease of intestine (acute and chronic)",0.16,0.12,0.2,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","2, 3","1, 2",0
"1277","Female genital prolapse","Coronary Heart Disease",0.16,0.11,0.21,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the genitourinary system","Diseases of the circulatory system","1, 2","2, 3",0
"1278","Hypothyroidism (without hyper)","Ischaemic stroke and TIA",0.15,0.05,0.25,0.05,"<0.0001","0.01","0.01","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1",0
"1279","Raynaud's syndrome","Ischaemic stroke and TIA",0.16,-0.05,0.37,0.11,"0.13","0.18","0.18","Diseases of the circulatory system","Diseases of the circulatory system","1","1",1
"1280","Retinal detachments and breaks","Glaucoma",0.16,0.07,0.25,0.05,"<0.0001","<0.0001","<0.0001","Diseases of the eye and adnexa","Diseases of the eye and adnexa","1","1, 3",1
"1281","Carpal tunnel syndrome","Gout",0.16,0.11,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",0
"1282","Hypothyroidism (without hyper)","Transient ischaemic attack",0.14,0.04,0.23,0.05,"<0.0001","0.01","0.01","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1, 2",0
"1283","All stroke","Cataract",0.16,0.08,0.24,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the eye and adnexa","1, 2","1, 2",0
"1284","Raynaud's syndrome","Primary Malignancy_Bladder",0.16,-0.1,0.42,0.13,"0.22","0.29","0.29","Diseases of the circulatory system","Neoplasms","1","1",0
"1285","Intervertebral disc disorders","Gout",0.16,0.11,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1, 2","1, 2, 3",1
"1286","Hypertension","Enthesopathies of the upper body",0.16,0.1,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1287","Hypothyroidism (without hyper)","Anxiety disorders",0.16,0.11,0.21,0.02,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Mental and behavioural disorders","1, 2","1, 2",0
"1288","Thromboembolic","Depression",0.16,0.11,0.21,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Mental and behavioural disorders","1, 2","3",0
"1289","Spondylosis","Hearing loss",0.16,0.08,0.23,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the musculoskeletal system and connective tissue","Diseases of the ear and mastoid process","1","3",0
"1290","Hypothyroidism (without hyper)","Hearing loss",0.11,0.06,0.16,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the ear and mastoid process","1, 2","3",0
"1291","Asthma","Hypothyroidism (without hyper)",0.16,0.1,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Endocrine, nutritional and metabolic diseases","2, 3","1, 2",0
"1292","Hypothyroidism (without hyper)","Thromboembolic",0.11,0.04,0.17,0.03,"<0.0001","<0.0001","<0.0001","Endocrine, nutritional and metabolic diseases","Diseases of the circulatory system","1, 2","1, 2",0
"1293","Asthma","Osteoporosis",0.16,0.1,0.22,0.03,"<0.0001","<0.0001","<0.0001","Diseases of the respiratory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"1294","Hypothyroidism (without hyper)","Cataract",0.08,0.03,0.13,0.03,"<0.0001","0.01","0.01","Endocrine, nutritional and metabolic diseases","Diseases of the eye and adnexa","1, 2","1, 2",0
"1295","Hypothyroidism (without hyper)","Osteoporosis",0.07,0.01,0.14,0.03,"0.03","0.04","0.04","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1296","Insomnia","Spondylolisthesis",0.54,0.28,0.81,0.14,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1297","Insomnia","Irritable bowel syndrome",0.52,0.24,0.8,0.14,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the digestive system","1","2, 3",0
"1298","Insomnia","Bursitis",0.52,0.24,0.79,0.14,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","1",0
"1299","Atrial fibrillation","Gastro-oesophageal reflux disease",0.16,0.11,0.21,0.02,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the digestive system","2, 3","2, 3",0
"1300","Insomnia","Transient ischaemic attack",0.34,0.16,0.52,0.09,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the circulatory system","1","1, 2",0
"1301","Hyperthyroidism (without hypo)","Peripheral neuropathies (excluding cranial nerve and carpal tunnel syndromes)",0.16,0.01,0.3,0.07,"0.03","0.05","0.05","Endocrine, nutritional and metabolic diseases","Diseases of the nervous system","1, 2","1",0
"1302","Atrial fibrillation","Spondylosis",0.16,0.08,0.23,0.04,"<0.0001","<0.0001","<0.0001","Diseases of the circulatory system","Diseases of the musculoskeletal system and connective tissue","2, 3","1",0
"1303","Insomnia","Rheumatoid Arthritis",0.27,0.13,0.41,0.07,"<0.0001","<0.0001","<0.0001","Diseases of the nervous system","Diseases of the musculoskeletal system and connective tissue","1","3",0
"1304","Enthesopathies of the upper body","Scoliosis",0.16,0.04,0.28,0.06,"0.01","0.02","0.02","Diseases of the musculoskeletal system and connective tissue","Diseases of the musculoskeletal system and connective tissue","1","1, 2",1
"1305","Hyperthyroidism (without hypo)","Fibromyalgia",0.16,-0.01,0.32,0.08,"0.06","0.09","0.09","Endocrine, nutritional and metabolic diseases","Diseases of the musculoskeletal system and connective tissue","1, 2","1",0
"1306","Insomnia","Tinnitus",0.25,0.09,0.42,0.09,"<0.0001","0.01","0.01","Diseases of the nervous system","Diseases of the ear and mastoid process","1","1, 2",0
